"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_length","Rainbow DQN - charts/episodic_length__MIN","Rainbow DQN - charts/episodic_length__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_length","DQN - charts/episodic_length__MIN","DQN - charts/episodic_length__MAX"
"44325","","","","","","","649","649","649","204","204","204"
"44371","720","720","720","188","188","188","","","","","",""
"44560","722","722","722","189","189","189","","","","","",""
"44562","","","","","","","612","612","612","237","237","237"
"44746","661","661","661","186","186","186","","","","","",""
"45007","","","","","","","614","614","614","221","221","221"
"45118","728","728","728","188","188","188","","","","","",""
"45208","","","","","","","657","657","657","201","201","201"
"45303","730","730","730","185","185","185","","","","","",""
"45437","","","","","","","659","659","659","229","229","229"
"45489","732","732","732","186","186","186","","","","","",""
"45646","","","","","","","639","617","661","209","209","209"
"45675","718.5","666","771","186","186","186","","","","","",""
"45860","773","773","773","185","185","185","","","","","",""
"45875","","","","","","","640.5","618","663","229","229","229"
"46049","775","775","775","189","189","189","","","","","",""
"46058","","","","","","","665","665","665","183","183","183"
"46318","","","","","","","667","667","667","260","260","260"
"46427","736","736","736","190","190","190","","","","","",""
"46613","737","737","737","186","186","186","","","","","",""
"46753","","","","","","","646.5","622","671","245","245","245"
"46796","783","783","783","183","183","183","","","","","",""
"46981","739","739","739","185","185","185","","","","","",""
"47169","763.5","740","787","188","188","188","","","","","",""
"47389","","","","","","","677","677","677","205","205","205"
"47912","795","795","795","186","186","186","","","","","",""
"48037","","","","","","","628","628","628","219","219","219"
"48255","","","","","","","629","629","629","218","218","218"
"48284","746","746","746","188","188","188","","","","","",""
"48461","","","","","","","658.5","630","687","206","206","206"
"48469","747","747","747","185","185","185","","","","","",""
"48657","748","748","748","188","188","188","","","","","",""
"48842","749","749","749","185","185","185","","","","","",""
"49025","807","807","807","183","183","183","","","","","",""
"49102","","","","","","","663","633","693","208","208","208"
"49213","751","751","751","188","188","188","","","","","",""
"49545","","","","","","","697","697","697","200","200","200"
"49587","783","753","813","190","190","190","","","","","",""
"49773","","","","","","","636","636","636","228","228","228"
"49777","784.5","754","815","190","190","190","","","","","",""
"49961","786","755","817","184","184","184","","","","","",""
"49976","","","","","","","701","701","701","203","203","203"
"50150","756","756","756","189","189","189","","","","","",""
"50164","","","","","","","703","703","703","188","188","188"
"50338","821","821","821","188","188","188","","","","","",""
"50354","","","","","","","672","639","705","190","190","190"
"50528","758","758","758","190","190","190","","","","","",""
"50718","759","759","759","190","190","190","","","","","",""
"50769","","","","","","","641","641","641","205","205","205"
"50906","793.5","760","827","188","188","188","","","","","",""
"51095","761","761","761","189","189","189","","","","","",""
"51224","","","","","","","643","643","643","226","226","226"
"51428","","","","","","","751","751","751","204","204","204"
"51614","","","","","","","711","711","711","186","186","186"
"51648","799.5","764","835","184","184","184","","","","","",""
"51846","","","","","","","755","755","755","232","232","232"
"52017","808.5","766","851","183","183","183","","","","","",""
"52038","","","","","","","713","713","713","192","192","192"
"52202","767","767","767","185","185","185","","","","","",""
"52254","","","","","","","714","714","714","216","216","216"
"52391","811.5","768","855","189","189","189","","","","","",""
"52467","","","","","","","715","715","715","213","213","213"
"52576","857","857","857","185","185","185","","","","","",""
"52688","","","","","","","716","716","716","221","221","221"
"52762","859","859","859","186","186","186","","","","","",""
"52907","","","","","","","741","717","765","219","219","219"
"52946","861","861","861","184","184","184","","","","","",""
"53111","","","","","","","742.5","718","767","204","204","204"
"53132","838","838","838","186","186","186","","","","","",""
"53321","839","839","839","189","189","189","","","","","",""
"53330","","","","","","","719","719","719","219","219","219"
"53504","840","840","840","183","183","183","","","","","",""
"53554","","","","","","","720","720","720","224","224","224"
"53877","856.5","842","871","186","186","186","","","","","",""
"53997","","","","","","","722","722","722","208","208","208"
"54060","873","873","873","183","183","183","","","","","",""
"54243","","","","","","","723","723","723","246","246","246"
"54248","844","844","844","188","188","188","","","","","",""
"54434","845","845","845","186","186","186","","","","","",""
"54446","","","","","","","779","779","779","203","203","203"
"54618","879","879","879","184","184","184","","","","","",""
"54673","","","","","","","753","725","781","227","227","227"
"54806","881","881","881","188","188","188","","","","","",""
"54878","","","","","","","754.5","726","783","205","205","205"
"55100","","","","","","","785","785","785","222","222","222"
"55316","","","","","","","728","728","728","216","216","216"
"55367","923","923","923","185","185","185","","","","","",""
"55550","885","885","885","183","183","183","","","","","",""
"55754","","","","","","","730","730","730","203","203","203"
"55926","887","887","887","187","187","187","","","","","",""
"55970","","","","","","","762","731","793","216","216","216"
"56115","931","931","931","189","189","189","","","","","",""
"56181","","","","","","","732","732","732","211","211","211"
"56304","911","889","933","189","189","189","","","","","",""
"56405","","","","","","","797","797","797","224","224","224"
"56490","935","935","935","186","186","186","","","","","",""
"56600","","","","","","","734","734","734","195","195","195"
"56677","914","891","937","187","187","187","","","","","",""
"56803","","","","","","","735","735","735","203","203","203"
"56865","915.5","892","939","188","188","188","","","","","",""
"56998","","","","","","","769.5","736","803","195","195","195"
"57048","941","941","941","183","183","183","","","","","",""
"57238","894","894","894","190","190","190","","","","","",""
"57241","","","","","","","771","737","805","243","243","243"
"57427","895","895","895","189","189","189","","","","","",""
"57469","","","","","","","772.5","738","807","228","228","228"
"57611","921.5","896","947","184","184","184","","","","","",""
"57657","","","","","","","739","739","739","188","188","188"
"57984","951","951","951","190","190","190","","","","","",""
"58053","","","","","","","848","848","848","207","207","207"
"58547","929","901","957","187","187","187","","","","","",""
"58684","","","","","","","854","854","854","216","216","216"
"58734","959","959","959","187","187","187","","","","","",""
"58938","","","","","","","800.5","745","856","254","254","254"
"59111","933.5","904","963","190","190","190","","","","","",""
"59128","","","","","","","858","858","858","190","190","190"
"59297","935","905","965","186","186","186","","","","","",""
"59671","907","907","907","185","185","185","","","","","",""
