,charts/SPS,charts/beta,charts/episodic_length,charts/episodic_return,_timestamp,losses/td_loss,_step,global_step,_runtime,losses/q_values
290,,,,,1754462792.1868057,1.7256861,182020,4276400.0,37944.257105842,
291,112.0,,,,1754462812.3079844,,182119,4278700.0,37959.263924441,
292,,,,,1754462872.054952,2.0511644,182415,4285700.0,38019.282442951,
293,,0.7415071,,,1754462912.4456146,,182615,4290300.0,38064.307993575,
294,,,,,1754462958.7613459,2.0477862,182842,4295700.0,38109.324120522,
295,,,,,1754463028.3576179,1.95541,183183,4303700.0,38169.346976632,
296,,,,,1754463205.6184533,1.8949033,184056,4324100.0,38349.41845281,
297,,,,,1754463340.9125133,,184723,4339700.0,38484.47484702,0.5268882
298,,,,,1754463495.0791676,,185489,4357600.0,38634.530766352,0.3372596
299,,,,12.0,1754463610.9380057,,186061,4370948.0,38754.590457117,
300,,,,,1754463979.2391593,,187881,4413400.0,39124.757573055,0.6236584
301,,,,,1754463981.5468476,2.053705,187892,4413700.0,39124.757895586,
302,,,1286.0,,1754464056.837451,,188263,4422340.0,39204.786804336,
303,,,,,1754464218.1943486,1.3959564,189050,4440800.0,39359.860525973,
304,112.0,,,,1754464373.40703,,189817,4458700.0,39519.912033857,
305,,,,,1754464381.4907343,,189856,4459600.0,39534.917554174,0.6268185
306,,0.75019497,,,1754464577.0308347,,190827,4482200.0,39714.995515907,
307,,,,,1754464626.7190814,,191072,4488000.0,39775.020401873,0.4377613
308,112.0,,,,1754464641.342351,,191147,4489700.0,39790.027744303,
309,,,,,1754464797.2535312,,191914,4507700.0,39940.09078771,0.51985407
310,,0.7518836,,,1754464899.1299174,,192421,4519500.0,40045.140966626,
311,,,,,1754464902.0134757,2.035305,192430,4519800.0,40045.141658643,
312,,,,15.0,1754464919.75535,,192520,4521853.0,40060.148942116,
313,,0.7529068,,,1754465096.0958645,,193391,4542100.0,40240.223290245,
314,112.0,,,,1754465195.3247035,,193879,4553500.0,40340.265452826,
315,,0.7544687,,,1754465396.766991,,194866,4576600.0,40540.348935824,
316,,0.7545411,,,1754465410.8448713,,194934,4578200.0,40555.354119093,
317,,,,,1754465446.9726017,,195113,4582400.0,40600.370868778,0.5165537
318,,,,,1754465679.30224,,196255,4609100.0,40825.464196295,0.533755
319,,,,,1754466228.6607125,,198949,4672000.0,41380.698724148,0.6349308
320,112.0,,,,1754466529.3225822,,200429,4706600.0,41680.808639902,
321,,,,,1754466852.9982352,1.9863428,202028,4744000.0,41995.93044268,
322,113.0,,,,1754467135.4535468,,203405,4776200.0,42281.06783451,
323,,,1303.0,5.0,1754467357.6715786,,204447,4801472.0,42493.362846295,
324,,0.76559216,,,1754467538.5313556,,205376,4822300.0,42686.23668632,
325,,,,,1754467683.8346121,1.814115,206093,4839100.0,42836.290281135,
326,,0.7670364,,,1754467815.4941425,,206742,4854200.0,42956.351700302,
327,,0.76888347,,,1754468170.0252073,,208491,4895000.0,43316.50873273,
328,,0.7690917,,,1754468210.0113227,,208688,4899600.0,43361.527285649,
329,,,,,1754468275.0145075,1.9772874,209001,4907000.0,43421.56172067,
330,,0.77050424,,,1754468481.775966,,210025,4930800.0,43631.676065985,
331,113.0,,,,1754468488.3874266,,210054,4931500.0,43631.677437205,
332,113.0,,,,1754468559.6209116,,210404,4939700.0,43701.717203831,
333,,,,,1754468560.3988001,,210407,4939800.0,43701.717260749,0.5788872
334,,0.77113354,,,1754468602.4249823,,210621,4944700.0,43751.739366421,
335,,0.771215,,,1754468617.7997348,,210698,4946500.0,43766.747653477,
336,,,,,1754468653.4097311,,210872,4950600.0,43796.761625371,0.6616558
337,,,967.0,10.0,1754468686.2388432,,211029,4954360.0,43821.930096946,
338,,,,,1754468716.3100007,,211186,4957900.0,43871.787766428,0.6549587
339,,0.7734243,,,1754469041.1762877,,212790,4995300.0,44181.933209385,
340,,0.7742211,,,1754469192.854888,,213546,5012900.0,44336.994619543,
341,,,,,1754469297.949849,,214057,5024900.0,44442.032892817,0.5682284
342,,,,,1754469300.6069307,,214069,5025200.0,44442.033852491,0.6609415
343,,,,,1754469303.7120464,,214086,5025600.0,44457.036622116,0.6689474
344,113.0,,,,1754469560.9053867,,215355,5055200.0,44712.160780005,
345,,,,,1754469592.1612813,1.9457088,215506,5058800.0,44742.172950106,
346,,0.77715474,,,1754469755.2040832,,216322,5077700.0,44902.243590677,
347,,,,,1754469835.7787614,1.9022119,216713,5086900.0,44982.273108272,
