"global_step","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX","DQN - _step","DQN - _step__MIN","DQN - _step__MAX","DQN - charts/episodic_return","DQN - charts/episodic_return__MIN","DQN - charts/episodic_return__MAX"
"52576","856","856","856","-21","-21","-21","","","","","",""
"52688","","","","","","","739","716","762","-21","-21","-21"
"52762","858","858","858","-21","-21","-21","","","","","",""
"52946","837","837","837","-21","-21","-21","","","","","",""
"53330","","","","","","","743.5","719","768","-21","-21","-21"
"53504","853","840","866","-21","-21","-21","","","","","",""
"53554","","","","","","","745","720","770","-21","-21","-21"
"53789","","","","","","","746.5","721","772","-21","-21","-21"
"53877","870","870","870","-21","-21","-21","","","","","",""
"54243","","","","","","","723","723","723","-21","-21","-21"
"54248","874","874","874","-21","-21","-21","","","","","",""
"54434","845","845","845","-21","-21","-21","","","","","",""
"54446","","","","","","","724","724","724","-21","-21","-21"
"54618","862","846","878","-21","-21","-21","","","","","",""
"54673","","","","","","","725","725","725","-21","-21","-21"
"54806","880","880","880","-21","-21","-21","","","","","",""
"54878","","","","","","","726","726","726","-20","-20","-20"
"54995","882","882","882","-21","-21","-21","","","","","",""
"55100","","","","","","","727","727","727","-21","-21","-21"
"55182","920","920","920","-21","-21","-21","","","","","",""
"55316","","","","","","","728","728","728","-21","-21","-21"
"55550","885","885","885","-21","-21","-21","","","","","",""
"55551","","","","","","","729","729","729","-19","-19","-19"
"55739","886","886","886","-21","-21","-21","","","","","",""
"55754","","","","","","","760","730","790","-21","-21","-21"
"55926","928","928","928","-21","-21","-21","","","","","",""
"55970","","","","","","","792","792","792","-21","-21","-21"
"56115","888","888","888","-21","-21","-21","","","","","",""
"56181","","","","","","","732","732","732","-21","-21","-21"
"56304","910.5","889","932","-21","-21","-21","","","","","",""
"56490","934","934","934","-21","-21","-21","","","","","",""
"56600","","","","","","","766","734","798","-21","-21","-21"
"56803","","","","","","","735","735","735","-21","-21","-21"
"56865","915","892","938","-21","-21","-21","","","","","",""
"56998","","","","","","","769","736","802","-21","-21","-21"
"57241","","","","","","","737","737","737","-21","-21","-21"
"57427","944","944","944","-21","-21","-21","","","","","",""
"57469","","","","","","","806","806","806","-21","-21","-21"
"57611","921","896","946","-21","-21","-21","","","","","",""
"57846","","","","","","","740","740","740","-21","-21","-21"
"57984","950","950","950","-21","-21","-21","","","","","",""
"58053","","","","","","","847","847","847","-20","-20","-20"
"58171","925.5","899","952","-21","-21","-21","","","","","",""
"58360","954","954","954","-21","-21","-21","","","","","",""
"58468","","","","","","","797","743","851","-21","-21","-21"
"58547","901","901","901","-21","-21","-21","","","","","",""
"58684","","","","","","","853","853","853","-20","-20","-20"
"58734","958","958","958","-21","-21","-21","","","","","",""
"58921","931.5","903","960","-21","-21","-21","","","","","",""
"58938","","","","","","","855","855","855","-21","-21","-21"
"59128","","","","","","","812","812","812","-21","-21","-21"
"59297","905","905","905","-21","-21","-21","","","","","",""
"59327","","","","","","","859","859","859","-21","-21","-21"
"59486","966","966","966","-21","-21","-21","","","","","",""
"59511","","","","","","","814","814","814","-21","-21","-21"
"59671","968","968","968","-21","-21","-21","","","","","",""
"59708","","","","","","","815","815","815","-21","-21","-21"
"59933","","","","","","","840.5","816","865","-21","-21","-21"
"60044","909","909","909","-21","-21","-21","","","","","",""
"60228","910","910","910","-21","-21","-21","","","","","",""
"60416","911","911","911","-21","-21","-21","","","","","",""
"60605","978","978","978","-21","-21","-21","","","","","",""
"60977","","","","","","","848","821","875","-21","-21","-21"
"60978","982","982","982","-21","-21","-21","","","","","",""
"61161","1015","1015","1015","-21","-21","-21","","","","","",""
"61350","966.5","916","1017","-21","-21","-21","","","","","",""
"61447","","","","","","","823","823","823","-21","-21","-21"
"61722","1002.5","984","1021","-21","-21","-21","","","","","",""
"61902","","","","","","","883","883","883","-20","-20","-20"
"61909","1004","985","1023","-21","-21","-21","","","","","",""
"62092","986","986","986","-21","-21","-21","","","","","",""
"62093","","","","","","","826","826","826","-21","-21","-21"
"62280","1007","987","1027","-21","-21","-21","","","","","",""
"62300","","","","","","","857","827","887","-21","-21","-21"
"62466","1008.5","988","1029","-21","-21","-21","","","","","",""
"62584","","","","","","","889","889","889","-19","-19","-19"
"62651","1031","1031","1031","-21","-21","-21","","","","","",""
"62770","","","","","","","829","829","829","-21","-21","-21"
"63015","","","","","","","893","893","893","-21","-21","-21"
"63026","1035","1035","1035","-21","-21","-21","","","","","",""
"63402","993","993","993","-21","-21","-21","","","","","",""
"63465","","","","","","","897","897","897","-21","-21","-21"
"63687","","","","","","","899","899","899","-20","-20","-20"
"63772","1043","1043","1043","-21","-21","-21","","","","","",""
"64093","","","","","","","835","835","835","-21","-21","-21"
"64297","","","","","","","870.5","836","905","-21","-21","-21"
"64509","1051","1051","1051","-21","-21","-21","","","","","",""
"64561","","","","","","","872","837","907","-20","-20","-20"
"64697","1000","1000","1000","-21","-21","-21","","","","","",""
"64795","","","","","","","909","909","909","-20","-20","-20"
"64885","1028","1001","1055","-21","-21","-21","","","","","",""
"65029","","","","","","","875","839","911","-21","-21","-21"
"65215","","","","","","","840","840","840","-21","-21","-21"
"65260","1003","1003","1003","-21","-21","-21","","","","","",""
"65437","","","","","","","895.5","841","950","-21","-21","-21"
"65449","1032.5","1004","1061","-21","-21","-21","","","","","",""
"65827","1035.5","1006","1065","-21","-21","-21","","","","","",""
"66011","1067","1067","1067","-21","-21","-21","","","","","",""
"66058","","","","","","","844","844","844","-21","-21","-21"
"66320","","","","","","","845","845","845","-20","-20","-20"
"66539","","","","","","","846","846","846","-20","-20","-20"
"66747","1075","1075","1075","-21","-21","-21","","","","","",""
"67039","","","","","","","964","964","964","-19","-19","-19"
"67118","1079","1079","1079","-21","-21","-21","","","","","",""
"67273","","","","","","","940.5","915","966","-21","-21","-21"
"67303","1014","1014","1014","-21","-21","-21","","","","","",""
"67477","","","","","","","942","916","968","-21","-21","-21"
"67487","1119","1119","1119","-21","-21","-21","","","","","",""
"67670","1121","1121","1121","-21","-21","-21","","","","","",""
"67928","","","","","","","918","918","918","-21","-21","-21"
"68041","1104.5","1084","1125","-21","-21","-21","","","","","",""
"68227","1085","1085","1085","-21","-21","-21","","","","","",""
"68373","","","","","","","948","920","976","-21","-21","-21"
"68414","1107.5","1086","1129","-21","-21","-21","","","","","",""
"68601","1131","1131","1131","-21","-21","-21","","","","","",""
"68811","","","","","","","922","922","922","-21","-21","-21"
"68973","1089","1089","1089","-21","-21","-21","","","","","",""
