,_runtime,_timestamp,charts/beta,global_step,losses/td_loss,charts/episodic_length,charts/SPS,_step,losses/q_values,charts/episodic_return
143,22891.731996062,1754018597.5991437,,2831300.0,,,123.0,123848,,
144,23116.79235019,1754018811.8343918,,2857700.0,,,123.0,124973,,
145,23236.8263841,1754018942.362108,0.572422,2873700.0,,,,125652,,
146,24024.6869231,1754019733.0989273,,2971545.0,,950.0,,129770,,-11.0
147,24197.098856725,1754019887.1609614,,2990800.0,,,,130636,-0.1636086,
148,24317.138321619,1754020015.140355,0.58042,3007000.0,,,,131327,,
149,24452.172950557,1754020150.2575006,,3024200.0,,,123.0,132059,,
150,24462.174873886,1754020161.6572683,,3025700.0,2.2657924,,,132120,,
151,24687.236427368,1754020394.0159788,,3055700.0,2.341958,,,133397,,
152,24717.242653864,1754020410.8127897,,3057900.0,,,123.0,133492,,
153,25047.329534628,1754020738.994967,,3100500.0,2.2957268,,,135299,,
154,25272.393255111,1754020969.9089084,,3131160.0,,,,136605,,4.0
155,25392.430407512,1754021091.2130811,,3147200.0,2.2870033,,,137284,,
156,25542.472223467,1754021241.5538166,0.59002,3167000.0,,,,138129,,
157,25542.472242848,1754021242.6229515,,3167100.0,2.286906,,,138130,,
158,25662.50657881,1754021367.7968538,0.590998,3183300.0,,,,138822,,
159,25982.591189708,1754021686.886609,,3224200.0,2.2626486,,,140555,,
160,26007.598073334,1754021709.5941617,,3227100.0,,,124.0,140679,,
161,26487.731559967,1754022181.1968153,,3287800.0,,,,143265,-0.064713866,
162,26702.790976602,1754022405.5881953,0.599014,3316900.0,,,,144503,,
163,26992.867740359,1754022691.6603856,0.601246,3354100.0,,,,146084,,
164,27498.001275407,1754023199.0742092,,3422500.0,,,124.0,148990,,
165,27753.070243491,1754023456.6583283,,3456400.0,,,124.0,150430,,
166,27833.090704195,1754023535.3681846,0.608008,3466800.0,,,,150871,,
167,27873.100501276,1754023566.757187,0.60826,3471000.0,,,,151051,,
168,28353.230815979,1754024048.9628813,,3534700.0,,,124.0,153752,,
169,28498.271069127,1754024199.2832572,,3554500.0,,,,154593,-0.12440258,
170,28723.332891157,1754024430.0419059,,3585300.0,,,124.0,155903,,
171,28843.367016935,1754024541.199349,,3600300.0,,,,156539,-0.013422657,
172,28923.39070759,1754024630.176219,,3612300.0,,,,157045,-0.11382575,
173,29041.133175597,1754024749.545248,,3628396.0,,1283.0,,157668,,6.0
174,29178.46302195,1754024875.663316,,3645300.0,2.1817398,,,158444,,
175,29178.463044043,1754024875.6646438,,3645300.0,,,124.0,158446,,
176,29328.505082063,1754025022.9601865,0.619876,3664600.0,,,,159269,,
177,29353.512270922,1754025050.0867376,,3668100.0,2.2690449,,,159415,,
178,29403.527864758,1754025105.3812418,,3675300.0,,,125.0,159720,,
179,29518.558952976,1754025219.8203185,,3690300.0,,,125.0,160356,,
180,29553.567545255,1754025250.2680943,0.621658,3694300.0,,,,160529,,
181,29643.595336158,1754025350.3309817,,3707600.0,2.2000318,,,161087,,
182,29928.673728665,1754025626.0544198,0.624604,3743400.0,,,,162617,,
183,30088.717161355,1754025783.796806,,3763800.0,2.2208273,,,163481,,
184,30233.753541788,1754025932.0857265,0.626992,3783200.0,,,,164304,,
185,30403.798914179,1754026098.2930367,,3805500.0,,,125.0,165252,,
186,30648.870406442,1754026347.7891412,,3838500.0,2.2193165,,,166651,,
187,30953.953663318,1754026658.402714,,3880100.0,,,125.0,168421,,
188,31164.008196658,1754026860.6632857,,3907500.0,,,,169586,0.0073981956,
189,31204.019204147,1754026902.236569,,3913100.0,2.2037702,,,169824,,
190,31219.023313126,1754026922.6015496,,3915900.0,2.3113534,,,169941,,
191,31219.023401325,1754026923.297023,,3916000.0,2.2700355,,,169945,,
192,31444.084055857,1754027143.5120773,,3945700.0,,,,171216,-0.029107602,
193,31754.167416281,1754027458.211988,,3988300.0,2.159678,,,173026,,
194,31819.18453488,1754027525.0613012,0.639802,3996700.0,,,,173383,,
195,32179.282804593,1754027878.6819038,,4040200.0,2.2279556,,,175232,,
196,32434.355098343,1754028138.2708697,,4073800.0,,,,176658,0.08113193,
197,32459.360990785,1754028161.937254,,4076865.0,,1037.0,,176788,,
198,32524.377458672,1754028226.5443726,,4085200.0,,,,177140,-0.032463722,
199,32579.392897648,1754028275.1260881,,4091500.0,,,125.0,177409,,
200,32609.401929306,1754028311.99134,,4096300.0,2.233461,,,177611,,
201,32639.409996717,1754028334.8643863,,4099300.0,,,,177739,0.012909917,
202,32884.480423432,1754028588.1494775,,4132400.0,2.1491554,,,179145,,
203,33074.534703103,1754028768.6579173,,4156100.0,2.2070875,,,180159,,
204,33354.613782876,1754029058.2884953,,4194600.0,1.9935906,,,181801,,
205,33379.619180486,1754029082.10453,0.651862,4197700.0,,,,181936,,
206,33794.727303366,1754029490.0563722,,4250700.0,2.1872365,,,184193,,
207,33819.73576166,1754029523.662045,,4255100.0,2.190346,,,184379,,
208,33914.76121376,1754029610.9912384,,4266600.0,,,125.0,184873,,
209,33924.765251098,1754029627.0314002,,4268700.0,,,125.0,184962,,
210,34064.802822607,1754029761.714283,,4286000.0,,,125.0,185702,,
211,34129.82222681,1754029823.8239198,,4293800.0,,,,186034,0.16070053,
212,34139.826543771,1754029847.4961963,,4296826.0,,1645.0,,186161,,
213,34514.930627399,1754030211.0139313,,4343500.0,,,,188151,0.3763847,
214,34820.015290092,1754030522.786398,,4384200.0,,,,189881,0.18965441,
215,34965.053658453,1754030664.7042813,,4402400.0,,,,190658,0.23855934,
216,35375.16944797,1754031064.432093,,4453100.0,,,125.0,192831,,
217,35580.228253254,1754031284.1360972,,4481100.0,,,,194017,0.27268332,
218,35745.275035854,1754031447.7416296,0.670126,4502100.0,,,,194910,,
219,35795.290117864,1754031498.3781335,,4508600.0,,,,195184,0.09286412,
220,35820.295647208,1754031520.7435384,0.67069,4511500.0,,,,195308,,
221,36185.401995544,1754031884.2716079,,4557933.0,,,,197289,,6.0
222,36200.40571883,1754031893.0103216,,4559000.0,2.113931,,,197332,,
223,37025.630741999,1754032730.6169264,,4663600.0,,,125.0,201792,,
224,37560.774133425,1754033253.4448466,,4729000.0,,,125.0,204581,,
225,37820.844186446,1754033519.5656886,,4762900.0,2.1524162,,,206024,,
226,37905.866577412,1754033598.7241066,,4773000.0,2.1150222,,,206457,,
227,38100.920703178,1754033804.574034,,4800000.0,,,,207608,0.1057847,
228,38285.972232605,1754033983.716454,,4823400.0,,,126.0,208608,,
229,38581.051785946,1754034280.2091792,0.691738,4862300.0,,,,210264,,
230,38676.078704641,1754034374.8955128,,4874500.0,2.2162247,,,210782,,
231,38781.108678589,1754034473.5634327,,4886700.0,,,,211302,0.18945538,
232,38881.136227938,1754034584.4850261,,4900400.0,,,,211885,0.24445143,
233,39101.196436811,1754034800.0176916,,4927600.0,,,126.0,213046,,
234,39581.321930714,1754035282.9168844,0.699478,4991300.0,,,,215760,,
235,39596.325861379,1754035299.4634724,,4993523.0,,1570.0,,215853,,
236,39701.351821916,1754035397.819011,,5006800.0,,,,216418,0.36999506,
237,39951.419794585,1754035655.0486352,,5039300.0,2.169091,,,217805,,
238,40446.558698024,1754036144.0186439,,5099200.0,2.075354,,,220361,,
239,40731.639341028,1754036432.601416,,5134500.0,2.0290241,,,221866,,
240,40951.701431227,1754036653.1460302,,5162200.0,,,,223044,0.31544048,
241,41176.767297149,1754036882.7425752,,5191500.0,,,126.0,224294,,
242,41406.830891282,1754037105.391716,,5219800.0,,,126.0,225499,,
243,41646.898696974,1754037349.6080446,,5250900.0,,,126.0,226824,,
244,41701.914016772,1754037397.1685874,0.715414,5256900.0,,,,227083,,
245,41836.950578521,1754037528.745078,,5273300.0,,,,227783,0.3838608,
246,41896.971508971,1754037597.5731058,,5282000.0,,,,228151,0.4337539,
247,41956.987614015,1754037655.5845168,,5289200.0,2.1784766,,,228456,,
248,42332.092704572,1754038026.278768,,5336100.0,2.0581932,,,230458,,
249,42482.132678684,1754038178.863274,,5355400.0,,,,231279,0.16264997,
250,42647.174320812,1754038339.873896,,5376100.0,,,126.0,232163,,
251,42662.178704884,1754038362.2587047,,5378900.0,2.1244273,,,232281,,
252,42977.266123712,1754038683.4341068,,5418800.0,,,126.0,233984,,
253,43012.273740621,1754038706.196322,,5421600.0,,,126.0,234103,,
254,43052.289151258,1754038759.752306,,5428200.0,,,,234383,0.29614723,
255,43082.294561204,1754038781.6927586,,5430907.0,,,,234501,,7.0
256,43357.37272653,1754039048.7014067,,5463700.0,,,,235900,0.30579638,
257,43367.377306446,1754039070.716667,,5466400.0,,,126.0,236014,,
258,43547.424530127,1754039243.6605072,,5487900.0,,,,236930,0.30488294,
259,43727.474777001,1754039426.3571618,0.730666,5511100.0,,,,237923,,
260,43782.49192843,1754039486.018435,,5518800.0,,,126.0,238250,,
261,44037.565216917,1754039740.177978,,5551600.0,,,126.0,239644,,
262,44177.599554253,1754039872.41855,,5569100.0,2.1719477,,,240394,,
263,44222.612640447,1754039914.4347973,,5574700.0,,,,240634,0.38205984,
264,44262.623445483,1754039964.575221,0.734878,5581300.0,,,,240917,,
265,44297.633239634,1754039994.3689895,,5585300.0,,,126.0,241086,,
266,44777.762126819,1754040471.9334505,0.738922,5648700.0,,,,243797,,
267,44897.795538941,1754040599.0242348,,5665700.0,,,126.0,244520,,
268,45122.855510201,1754040826.415213,,5694600.0,2.1525002,,,245749,,
269,45137.859448182,1754040833.886071,,5695600.0,,,126.0,245797,,
270,45177.869965109,1754040884.9389176,0.74215,5702500.0,,,,246088,,
271,45337.912070737,1754041043.8505464,,5724100.0,,,126.0,247011,,
272,45392.925042742,1754041095.073009,,5731100.0,2.0715573,,,247305,,
273,45522.958134866,1754041217.749664,,5747900.0,,,,248024,0.310498,
274,45693.003676767,1754041387.0191813,,5769900.0,,,126.0,248962,,
275,45873.056428621,1754041570.4369729,,5792500.0,2.1979291,,,249926,,
276,45888.060094365,1754041586.8234708,,5794500.0,2.1681635,,,250012,,
277,45963.080320831,1754041663.2271338,,5804000.0,2.2034805,,,250417,,
278,45963.080710819,1754041666.5867155,,5804400.0,,,126.0,250437,,
279,46048.104729868,1754041750.484347,0.748906,5815100.0,,,,250896,,
280,46128.127365408,1754041832.9928393,,5825300.0,,,126.0,251330,,
281,46188.143604924,1754041885.379686,,5831700.0,,,,251600,0.32155827,
282,46388.199221497,1754042085.949756,,5855900.0,,,,252634,0.30161023,
283,46403.202186633,1754042094.32134,0.751414,5856900.0,,,,252679,,
284,46683.284531758,1754042388.4840734,,5891922.0,,,,254167,,11.0
285,46893.342223575,1754042597.2179778,,5917900.0,2.0901206,,,255274,,
286,47008.373946856,1754042708.9313147,0.755926,5932100.0,,,,255885,,
287,47193.425773208,1754042895.2036316,,5955840.0,,,,256894,,11.0
288,47758.577217326,1754043451.6687627,,6027200.0,,,126.0,259937,,
289,47793.587280011,1754043497.0263855,,6033000.0,1.9506899,,,260179,,
290,47988.640593568,1754043689.805176,,6056900.0,,,126.0,261202,,
291,48303.729721151,1754044001.4777758,,6096100.0,,,,262873,0.34231555,
292,48333.736738879,1754044025.448471,,6099069.0,,923.0,,263002,,
293,48378.75061296,1754044085.440144,,6106500.0,,,126.0,263319,,
294,48678.851651925,1754044383.210437,,6144200.0,,,126.0,264934,,
295,48918.918873549,1754044623.9702141,0.770458,6174300.0,,,,266224,,
296,49008.943822147,1754044707.608845,0.771082,6184700.0,,,,266670,,
297,49008.944027731,1754044709.8621778,,6185000.0,2.1169052,,,266679,,
298,49168.985981815,1754044875.5629566,,6206100.0,,,,267578,0.27552512,
299,49234.004194508,1754044933.6202133,0.772816,6213600.0,,,,267901,,
300,49319.105313367,1754045013.7942605,,6223900.0,,,126.0,268340,,
301,49429.135477601,1754045122.6545756,0.774256,6237600.0,,,,268927,,
302,49999.398456068,1754045699.459608,,6310100.0,,,126.0,272017,,
303,49999.398834304,1754045701.77058,,6310400.0,,,,272028,0.22485203,
304,50119.431102516,1754045809.875004,0.779428,6323800.0,,,,272604,,
305,50212.53877073,1754045920.950797,,6337552.0,,987.0,,273160,,11.0
306,50239.554384214,1754045939.1836057,,6339800.0,2.1161325,,,273284,,
307,50524.639432895,1754046218.4444582,,6374000.0,1.95682,,,274750,,
308,50584.657291817,1754046286.9264994,,6382400.0,2.1629934,,,275109,,
309,50599.661135286,1754046295.8309593,,6383500.0,2.0754814,,,275156,,
310,50689.688389922,1754046394.2619338,0.783736,6395600.0,,,,275672,,
311,50864.735596674,1754046558.7725897,,6416000.0,,,126.0,276546,,
312,51344.876035906,1754047048.2040558,,6477600.0,,,,279181,0.3329165,
313,51409.892074072,1754047103.5788612,,6484500.0,2.1386867,,,279476,,
314,51464.909485835,1754047166.2944214,,6492300.0,,,,279812,0.3563441,
315,51499.919285093,1754047204.8447175,,6497100.0,2.0697463,,,280015,,
316,51694.973566658,1754047387.6847863,,6519800.0,,,,280988,0.4803871,
317,51739.987791647,1754047445.072194,,6526900.0,2.104978,,,281287,,
318,51754.991186727,1754047449.2345355,,6527400.0,,,126.0,281311,,
319,51825.009877888,1754047519.915242,,6536200.0,,,126.0,281687,,
320,52070.075620335,1754047767.721504,0.793996,6566600.0,,,,282982,,
321,52085.080278431,1754047782.505801,,6568400.0,2.137933,,,283057,,
322,52175.106710649,1754047871.2068336,0.794764,6579400.0,,,,283530,,
323,52210.56817883,1754047918.9802444,,6585310.0,,1406.0,,283740,,7.0
324,52460.192146548,1754048157.2519472,,6615200.0,,,,285061,0.5596067,
325,52680.251335905,1754048380.2923014,,6643300.0,,,,286260,0.43264908,
326,52770.275790221,1754048466.3605115,,6654100.0,2.1360831,,,286724,,
327,52785.280233082,1754048483.8450103,,6656300.0,,,126.0,286820,,
328,52820.290340974,1754048524.3430352,,6661400.0,,,126.0,287036,,
329,52995.34148539,1754048699.5892727,,6683400.0,1.9688393,,,287974,,
330,53105.370699738,1754048801.2385342,,6696200.0,,,126.0,288527,,
331,53265.418171346,1754048970.7218115,,6717800.0,2.1668003,,,289449,,
332,53345.434707976,1754049034.5828874,,6725800.0,,,,289795,0.2661741,
333,53495.476689537,1754049195.4961734,,6745800.0,,,126.0,290652,,
334,53510.480532343,1754049208.6330118,,6747400.0,,,,290718,0.47031718,
335,53595.505032501,1754049300.0611632,0.805534,6758900.0,,,,291212,,
336,53780.550990355,1754049473.1556847,,6780300.0,,,126.0,292128,,
337,54020.61690355,1754049715.4218822,0.808612,6810200.0,,,,293412,,
338,54140.650399042,1754049836.7033691,0.809518,6825300.0,,,,294058,,
339,54275.687532876,1754049973.9082735,,6842400.0,,,,294782,0.31412274,
