"global_step","rainbow_dqn_sweep_config4 - _step","rainbow_dqn_sweep_config4 - _step__MIN","rainbow_dqn_sweep_config4 - _step__MAX","rainbow_dqn_sweep_config4 - charts/episodic_return","rainbow_dqn_sweep_config4 - charts/episodic_return__MIN","rainbow_dqn_sweep_config4 - charts/episodic_return__MAX","rainbow_dqn_sweep_config3 - _step","rainbow_dqn_sweep_config3 - _step__MIN","rainbow_dqn_sweep_config3 - _step__MAX","rainbow_dqn_sweep_config3 - charts/episodic_return","rainbow_dqn_sweep_config3 - charts/episodic_return__MIN","rainbow_dqn_sweep_config3 - charts/episodic_return__MAX","rainbow_dqn_sweep_config2 - _step","rainbow_dqn_sweep_config2 - _step__MIN","rainbow_dqn_sweep_config2 - _step__MAX","rainbow_dqn_sweep_config2 - charts/episodic_return","rainbow_dqn_sweep_config2 - charts/episodic_return__MIN","rainbow_dqn_sweep_config2 - charts/episodic_return__MAX","rainbow_dqn_sweep_config1 - _step","rainbow_dqn_sweep_config1 - _step__MIN","rainbow_dqn_sweep_config1 - _step__MAX","rainbow_dqn_sweep_config1 - charts/episodic_return","rainbow_dqn_sweep_config1 - charts/episodic_return__MIN","rainbow_dqn_sweep_config1 - charts/episodic_return__MAX","Rainbow DQN - _step","Rainbow DQN - _step__MIN","Rainbow DQN - _step__MAX","Rainbow DQN - charts/episodic_return","Rainbow DQN - charts/episodic_return__MIN","Rainbow DQN - charts/episodic_return__MAX"
"15669","262","262","262","-21","-21","-21","233","204","262","-21","-21","-21","235.5","204","267","-21","-21","-21","233.5","204","263","-21","-21","-21","","","","","",""
"15835","","","","","","","","","","","","","","","","","","","","","","","","","235","206","264","-21","-21","-21"
"15858","234.5","205","264","-21","-21","-21","234.5","205","264","-21","-21","-21","237","205","269","-21","-21","-21","235","205","265","-21","-21","-21","","","","","",""
"16025","","","","","","","","","","","","","","","","","","","","","","","","","236.5","207","266","-21","-21","-21"
"16047","236","206","266","-21","-21","-21","236","206","266","-21","-21","-21","238.5","206","271","-21","-21","-21","236.5","206","267","-21","-21","-21","","","","","",""
"16209","","","","","","","","","","","","","","","","","","","","","","","","","208","208","208","-21","-21","-21"
"16231","207","207","207","-21","-21","-21","268","268","268","-21","-21","-21","240","207","273","-21","-21","-21","238","207","269","-21","-21","-21","","","","","",""
"16416","","","","","","","","","","","","","241.5","208","275","-21","-21","-21","239.5","208","271","-21","-21","-21","","","","","",""
"16577","","","","","","","","","","","","","","","","","","","","","","","","","241","210","272","-21","-21","-21"
"16605","240.5","209","272","-21","-21","-21","240.5","209","272","-21","-21","-21","243","209","277","-21","-21","-21","241","209","273","-21","-21","-21","","","","","",""
"16767","","","","","","","","","","","","","","","","","","","","","","","","","242.5","211","274","-21","-21","-21"
"16793","242","210","274","-21","-21","-21","210","210","210","-21","-21","-21","244.5","210","279","-21","-21","-21","242.5","210","275","-21","-21","-21","","","","","",""
"16952","","","","","","","","","","","","","","","","","","","","","","","","","244","212","276","-21","-21","-21"
"16980","276","276","276","-21","-21","-21","243.5","211","276","-21","-21","-21","246","211","281","-21","-21","-21","244","211","277","-21","-21","-21","","","","","",""
"17139","","","","","","","","","","","","","","","","","","","","","","","","","213","213","213","-21","-21","-21"
"17169","245","212","278","-21","-21","-21","245","212","278","-21","-21","-21","247.5","212","283","-21","-21","-21","245.5","212","279","-21","-21","-21","","","","","",""
"17323","","","","","","","","","","","","","","","","","","","","","","","","","280","280","280","-21","-21","-21"
"17356","246.5","213","280","-21","-21","-21","246.5","213","280","-21","-21","-21","249","213","285","-21","-21","-21","247","213","281","-21","-21","-21","","","","","",""
"17513","","","","","","","","","","","","","","","","","","","","","","","","","215","215","215","-21","-21","-21"
"17543","214","214","214","-21","-21","-21","248","214","282","-21","-21","-21","250.5","214","287","-21","-21","-21","248.5","214","283","-21","-21","-21","","","","","",""
"17701","","","","","","","","","","","","","","","","","","","","","","","","","284","284","284","-21","-21","-21"
"17729","268","215","321","-21","-21","-21","268","215","321","-21","-21","-21","267.5","215","320","-21","-21","-21","266.5","215","318","-21","-21","-21","","","","","",""
"17885","","","","","","","","","","","","","","","","","","","","","","","","","217","217","217","-21","-21","-21"
"17917","216","216","216","-21","-21","-21","323","323","323","-21","-21","-21","269","216","322","-21","-21","-21","268","216","320","-21","-21","-21","","","","","",""
"18072","","","","","","","","","","","","","","","","","","","","","","","","","325","325","325","-21","-21","-21"
"18104","304.5","284","325","-21","-21","-21","304.5","284","325","-21","-21","-21","270.5","217","324","-21","-21","-21","269.5","217","322","-21","-21","-21","","","","","",""
"18289","306","285","327","-21","-21","-21","306","285","327","-21","-21","-21","272","218","326","-21","-21","-21","304.5","285","324","-21","-21","-21","","","","","",""
"18446","","","","","","","","","","","","","","","","","","","","","","","","","287","287","287","-21","-21","-21"
"18475","286","286","286","-21","-21","-21","307.5","286","329","-21","-21","-21","273.5","219","328","-21","-21","-21","306","286","326","-21","-21","-21","","","","","",""
"18635","","","","","","","","","","","","","","","","","","","","","","","","","331","331","331","-21","-21","-21"
"18658","","","","","","","287","287","287","-21","-21","-21","275","220","330","-21","-21","-21","307.5","287","328","-21","-21","-21","","","","","",""
"18818","","","","","","","","","","","","","","","","","","","","","","","","","289","289","289","-21","-21","-21"
"18843","310.5","288","333","-21","-21","-21","288","288","288","-21","-21","-21","276.5","221","332","-21","-21","-21","309","288","330","-21","-21","-21","","","","","",""
"19003","","","","","","","","","","","","","","","","","","","","","","","","","335","335","335","-21","-21","-21"
"19026","312","289","335","-21","-21","-21","312","289","335","-21","-21","-21","311.5","289","334","-21","-21","-21","310.5","289","332","-21","-21","-21","","","","","",""
"19193","","","","","","","","","","","","","","","","","","","","","","","","","291","291","291","-21","-21","-21"
"19213","313.5","290","337","-21","-21","-21","337","337","337","-21","-21","-21","313","290","336","-21","-21","-21","312","290","334","-21","-21","-21","","","","","",""
